"nachname","vorname","ort","partei","titel","geschaeftsnummer"
"Engeli-Sager","Brigitta",,"GRÜNE","Einfache Anfrage von Brigitta Engeli-Sager vom 11. September 2024 \"Schule und Digitalität - Wohin steuert das Amt für Volksschule?\"","2024/EA 14/56"
"Dietz","Mathias",,"EVP","Einfache Anfrage von Mathias Dietz vom 11. September 2024 \"Mehr Sicherheit auf dem Schulweg - Leuchtwesten für die Thurgauer Schülerinnen und Schüler\"","2024/EA 15/57"
"Zbinden","Ruedi",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Keller","Heinz",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Strähl-D'Ambrosio","Raffaella",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Brunner","Claude",,"SVP","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","2024/EA 16/58"
"Greber","Kenny",,"SP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Schallenberg","Turi",,"SP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Hauser","Cornelia",,"GRÜNE","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Graf","Ulrich",,"SVP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Pasche-Strasser","Corinna",,"Die Mitte","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Dietz","Mathias",,"EVP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Hug","Celina",,"GLP","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Spiri","Robin",,"Aufrecht","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","2024/MO 8/59"
"Rickenbach","Elisabeth",,"EVP","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Eugster","Franz",,"Die Mitte","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Ricklin","Judith",,"SVP","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Dätwyler Weber","Barbara",,"SP","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Zeitner","Nicole",,"GLP","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Engeli-Sager","Brigitta",,"GRÜNE","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Madörin","Lukas",,"EDU","Motion von Elisabeth Rickenbach, Franz Eugster, Judith Ricklin, Barbara Dätwyler Weber, Nicole Zeitner, Brigitta Engeli-Sager, Lukas Madörin vom 11. September 2024 \"Verkaufsverbot von Einweg E-Zigaretten\"","2024/MO 9/60"
"Tobler","Stephan",,"SVP","Parlamentarische Initiative von Stephan Tobler vom 11. September 2024 \"Gesetz über das Stimm- und Wahlrecht (StWG) vom 12. Februar 2014 (Stand 1. August 2014)\"","2024/PI 1/61"
"Senn-Bieri","Ursula",,"SP","Einfache Anfrage von Ursula Senn-Bieri vom 11. September 2024 \"Selektives Obligatorium Vorschulische Sprachförderung\"","2024/EA 17/62"
"Wiesli","Jürg",,"SVP","Einfache Anfrage von Jürg Wiesli vom 30. September 2024 \"Hohe Kosten einer fast vollzeitlichen Kinderbetreuung\"","2024/EA 18/65"
"Sontheim","Marion",,"SP","Einfache Anfrage von Marion Sontheim vom 30. September 2024 \"Elternbeiträge Klassenlager\"","2024/EA 19/66"
"Zeitner","Nicole",,"GLP","Einfache Anfrage von Nicole Zeitner, Celina Hug vom 30. September 2024 \"Umsetzung der Sexualstrafrechtsreform im Kanton Thurgau\"","2024/EA 20/67"
"Hug","Celina",,"GLP","Einfache Anfrage von Nicole Zeitner, Celina Hug vom 30. September 2024 \"Umsetzung der Sexualstrafrechtsreform im Kanton Thurgau\"","2024/EA 20/67"
"Hauser","Cornelia",,"GRÜNE","Einfache Anfrage von Cornelia Hauser, Nicole Zeitner, Elisabeth Rickenbach vom 30. September 2024 \"Ergänzungsleistungen zur Alters-, Hinterlassenen- und Invalidenversicherung - Tarifanpassung dringend nötig.","2024/EA 21/68"
"Zeitner","Nicole",,"GLP","Einfache Anfrage von Cornelia Hauser, Nicole Zeitner, Elisabeth Rickenbach vom 30. September 2024 \"Ergänzungsleistungen zur Alters-, Hinterlassenen- und Invalidenversicherung - Tarifanpassung dringend nötig.","2024/EA 21/68"
"Rickenbach","Elisabeth",,"EVP","Einfache Anfrage von Cornelia Hauser, Nicole Zeitner, Elisabeth Rickenbach vom 30. September 2024 \"Ergänzungsleistungen zur Alters-, Hinterlassenen- und Invalidenversicherung - Tarifanpassung dringend nötig.","2024/EA 21/68"
"Leuthold","Stefan",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Zeitner","Nicole",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Ammann","Reto",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Sigg","Alexander",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Hug","Celina",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Preiss","Marcel",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Alexander Sigg, Celina Hug, Marcel Preiss vom 30. September 2024 \"Widerrechtliche Adoptionen von indischen Kindern im Thurgau\"","2024/EA 22/69"
"Spiri","Robin",,"Aufrecht","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Dätwyler Weber","Barbara",,"SP","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Sigg","Alexander",,"GLP","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Sigrist","Andreas",,"EDU","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Ricklin","Judith",,"SVP","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Siegenthaler","Patrick",,"Die Mitte","Parlamentarische Initiative von Robin Spiri, Barbara Dätwyler Weber, Alexander Sigg, Andreas Sigrist, Judith Ricklin, Patrick Siegenthaler vom 23. Oktober 2024 \"Maximaler steuerlicher Abzug der Krankenkassenprämien der Realität anpassen\"","2024/PI 2/71"
"Martin","Oliver",,"SVP","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","2024/MO 10/72"
"Wittwer","Marcel",,"EDU","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","2024/MO 10/72"
"Auer","Jacob",,"SP","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","2024/MO 10/72"
"Feuerle","Didi",,"GRÜNE","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","2024/MO 10/72"
"Nikolic-Fuss","Sandrine",,"SP","Motion von Oliver Martin, Marcel Wittwer, Jacob Auer, Didi Feuerle, Sandrine Nikolic-Fuss vom 23. Oktober 2024 \"Abschaffung des regierungsrätlichen Ruhegehalts\"","2024/MO 10/72"
"Leuthold","Stefan",,"GLP","Interpellation von Stefan Leuthold, Cornelia Hasler-Roost, Patrick Siegenthaler vom 23. Oktober 2024 \"Entfremdung: Welche Unterstützung erhalten Betroffene im Thurgau?\"","2024/IN 8/73"
"Hasler-Roost","Cornelia",,"FDP","Interpellation von Stefan Leuthold, Cornelia Hasler-Roost, Patrick Siegenthaler vom 23. Oktober 2024 \"Entfremdung: Welche Unterstützung erhalten Betroffene im Thurgau?\"","2024/IN 8/73"
"Siegenthaler","Patrick",,"Die Mitte","Interpellation von Stefan Leuthold, Cornelia Hasler-Roost, Patrick Siegenthaler vom 23. Oktober 2024 \"Entfremdung: Welche Unterstützung erhalten Betroffene im Thurgau?\"","2024/IN 8/73"
"Keller","Ueli",,"GRÜNE","Einfache Anfrage von Ueli Keller vom 23. Oktober 2024 \"Kinder in der Nothilfe\"","2024/EA 23/74"
"Spiri","Robin",,"Aufrecht","Einfache Anfrage von Robin Spiri vom 23. Oktober 2024 \"Bargeldlose Automaten auf Kantonsgebiet\"","2024/EA 24/75"
"Greber","Kenny",,"SP","Einfache Anfrage von Kenny Greber vom 6. November 2024 \"Areal Hasli / Wigoltingen Innovation Park (WIP)\"","2024/EA 25/77"
"Spiri","Robin",,"Aufrecht","Einfache Anfrage von Robin Spiri vom 6. November 2024 \"Food Waste reduzieren und Wegwerfkultur stoppen\"","2024/EA 26/78"
"Weilenmann","Simon",,"GRÜNE","Einfache Anfrage von Simon Weilenmann vom 6. November 2024 \"Ist die Beschlagnahmung von Vermögenswerten von geflüchteten Personen im Zusammenhang mit der Sonderabgabe, Asylgesetz Art. 86, in den Thurgauer Gemeinden zulässig?","2024/EA 27/79"
"Leuthold","Stefan",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","2024/EA 28/80"
"Zeitner","Nicole",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","2024/EA 28/80"
"Ammann","Reto",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","2024/EA 28/80"
"Hug","Celina",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","2024/EA 28/80"
"Preiss","Marcel",,"GLP","Einfache Anfrage von Stefan Leuthold, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 6. November 2024 \"AXPO: Ein ausser Kontrolle geratenes Hochrisiko-Unternehmen?\"","2024/EA 28/80"
"Weilenmann","Simon",,"GRÜNE","Einfache Anfrage von Simon Weilenmann vom 6. November 2024 \"Pestizide im Trinkwasser\"","2024/EA 29/81"
"Indergand","Aline",,"SVP","Einfache Anfrage von Aline Indergand vom 6. November 2024 \"Willkommenskultur im Migrationsamt\"","2024/EA 30/82"
"Stutz","Raphael",,"SVP","Einfache Anfrage von Raphael Stutz vom 6. November 2024 \"Wil West\"","2024/EA 31/83"
"Wirth","Andreas",,"SVP","Einfache Anfrage von Andreas Wirth vom 6. November 2024 \"Selektives Sprachobligatorium - richtig selektioniert?\"","2024/EA 32/84"
"Eberle","Stephanie",,"SVP","Interpellation von Stephanie Eberle vom 6. November 2024 \"Integrative Sonderschule oder Separative Integration?\"","2024/IN 9/85"
"Indergand","Aline",,"SVP","Interpellation von Aline Indergand, Stephanie Eberle vom 6. November 2024 \"Effektive Rückführung von straffälligen Asylmigrantinnen und -migranten\"","2024/IN 10/86"
"Eberle","Stephanie",,"SVP","Interpellation von Aline Indergand, Stephanie Eberle vom 6. November 2024 \"Effektive Rückführung von straffälligen Asylmigrantinnen und -migranten\"","2024/IN 10/86"
"Brüllmann","Markus",,"SP","Einfache Anfrage von Markus Brüllmann, Marion Sontheim vom 20. November 2024 \"Vorgehen betreffend Schutzsuchenden mit Status S, welche eine Lehre antreten oder abschliessen möchten\"","2024/EA 33/87"
"Sontheim","Marion",,"SP","Einfache Anfrage von Markus Brüllmann, Marion Sontheim vom 20. November 2024 \"Vorgehen betreffend Schutzsuchenden mit Status S, welche eine Lehre antreten oder abschliessen möchten\"","2024/EA 33/87"
"Wohlfender-Oertig","Edith",,"SP","Einfache Anfrage von Edith Wohlfender-Oertig, Kenny Greber, Traudi Schönegger vom 20. November 2024 \"Prävention bei Jugendlichen - eine neue Herausforderung für den Thurgau?\"","2024/EA 34/88"
"Greber","Kenny",,"SP","Einfache Anfrage von Edith Wohlfender-Oertig, Kenny Greber, Traudi Schönegger vom 20. November 2024 \"Prävention bei Jugendlichen - eine neue Herausforderung für den Thurgau?\"","2024/EA 34/88"
"Schönegger","Traudi",,"SP","Einfache Anfrage von Edith Wohlfender-Oertig, Kenny Greber, Traudi Schönegger vom 20. November 2024 \"Prävention bei Jugendlichen - eine neue Herausforderung für den Thurgau?\"","2024/EA 34/88"
"Vonlanthen-Specker","Isabelle",,"GRÜNE","Einfache Anfrage von Isabelle Vonlanthen-Specker, Didi Feuerle vom 20. November 2024 \"Handel mit Haus- und Wildtieren\"","2024/EA 35/89"
"Feuerle","Didi",,"GRÜNE","Einfache Anfrage von Isabelle Vonlanthen-Specker, Didi Feuerle vom 20. November 2024 \"Handel mit Haus- und Wildtieren\"","2024/EA 35/89"
"Caviezel","Christian",,"EDU","Einfache Anfrage von Christian Caviezel vom 20. November 2024 \"Solares Geoengineering im Thurgauer Flugraum?\"","2024/EA 36/90"
"Wohlfender-Oertig","Edith",,"SP","Interpellation von Edith Wohlfender-Oertig, Elina Müller vom 20. November 2024 \"Ermordet, weil sie Frauen sind! Im Thurgau - ein politisches Thema?\"","2024/IN 11/91"
"Müller","Elina",,"SP","Interpellation von Edith Wohlfender-Oertig, Elina Müller vom 20. November 2024 \"Ermordet, weil sie Frauen sind! Im Thurgau - ein politisches Thema?\"","2024/IN 11/91"
"Eugster","Daniel",,"FDP","Motion gemäss § 75 der Geschäftsordnung des Grossen Rates (GOGR) von Daniel Eugster, Gabriel Macedo vom 4. Dezember 2024 \"Transparenz der Kosten parlamentarischer Vorstösse\"","2024/MO 11/92"
"Macedo","Gabriel",,"FDP","Motion gemäss § 75 der Geschäftsordnung des Grossen Rates (GOGR) von Daniel Eugster, Gabriel Macedo vom 4. Dezember 2024 \"Transparenz der Kosten parlamentarischer Vorstösse\"","2024/MO 11/92"
"Leuthold","Stefan",,"GLP","Einfache Anfrage von Stefan Leuthold, Marcel Preiss vom 18. Dezember 2024 \"Thurgauer Klima– und Energieziele: Echte Ambition oder Makulatur?\"","2024/EA 37/94"
"Preiss","Marcel",,"GLP","Einfache Anfrage von Stefan Leuthold, Marcel Preiss vom 18. Dezember 2024 \"Thurgauer Klima– und Energieziele: Echte Ambition oder Makulatur?\"","2024/EA 37/94"
"Bétrisey","Karin",,"GRÜNE","Einfache Anfrage von Karin Bétrisey vom 18. Dezember 2024 \"Das Projekt BTS/OLS ist Geschichte – nun soll die Mobilität in unserem Kanton endlich nachhaltig geplant werden\"","2024/EA 38/95"
"Stump","Beat",,"SVP","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Martin","Oliver",,"SVP","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Schenk","Peter",,"EDU","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Lei","Hermann",,"SVP","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Eberle","Stephanie",,"SVP","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Eugster","Franz",,"Die Mitte","Standesinitiative von Beat Stump, Oliver Martin, Peter Schenk, Hermann Lei, Stephanie Eberle, Franz Eugster vom 18. Dezember 2024 \"Standesinitiative für Ständemehr. Aus Respekt vor der Bundesverfassung und dem demokratischen Zusammenhalt in der Schweiz.\"","2024/NA 1/96"
"Leu","Thomas",,"FDP","Interpellation von Thomas Leu, Attila Wohlrab, Fabrizio Hugentobler, Markus Bürgi, Martina Pfiffner Müller vom 18. Dezember 2024 \"Lohndeckelung für die Mitglieder der Konzernleitung der Axpo Holding AG\"","2024/IN 12/97"
"Wohlrab","Attila",,"FDP","Interpellation von Thomas Leu, Attila Wohlrab, Fabrizio Hugentobler, Markus Bürgi, Martina Pfiffner Müller vom 18. Dezember 2024 \"Lohndeckelung für die Mitglieder der Konzernleitung der Axpo Holding AG\"","2024/IN 12/97"
